1 -2332017861.9186644554 -145364287.7071057558 -165571165.3307135701 -1032636.4607400498 198250752.5288420618 61750986.9404373541
2 -2374488947.8351960182 36637817.2894539684 14685969.5226603411 -535804.4383091286 179214364.6851890683 26293440.3978669345
3 -2216821562.6367239952 -9777576.7398880050 -16251925.0701315850 780604.1320971753 198288255.3888326883 10048330.5003774241
4 -1913338551.5353856087 3444202.7203124817 -6329263.4933556169 430571.9943796607 204470442.9422303140 8178990.0270055234
5 -1557288223.2285773754 2148923.6722964067 -9453839.8121869601 10528.3239983888 197858556.9053001404 4240320.7841514871
6 -1191740493.1015243530 4411522.5361676989 -9918153.0028745513 -507388.6351593211 180143145.1140233576 2487953.5674146917
7 -848389923.0134710073 5362434.3071002634 -10950221.2975450400 -950900.8164722319 154169551.3342435956 617888.2666227585
8 -541217061.2275625467 5919761.1260363022 -11591838.6026902981 -1331687.9063637205 123629262.3757726550 -1267718.1815636205
9 -269963960.6012028456 6699594.3738047071 -14085190.4807437975 -2049535.4382565629 89763230.5763196647 -5033763.1041464638
10 -69374930.0896030813 9662148.9692705646 -11353326.0090273507 -1857468.9139048811 37104417.3000580966 -4713957.5221288037
11 -1857492574.5457704067 -116482101.3493024260 -134155004.6094617546 -4734124.3824192947 146615408.1847037673 102270472.0089606643
12 -1836087915.9300630093 33466292.6617481969 14076317.3973740712 -6405843.4129878581 120955417.9231438041 68394945.8838140815
13 -1714890422.4235677719 -7208367.1209478322 -12525406.9986762367 -2646358.3004313279 138194619.5286981761 42835975.8014805019
14 -1485371503.3539271355 2987905.7288994659 -4330753.1355991773 -1724965.8471776454 143353988.4657011330 32990588.1749816909
15 -1207565522.5981326103 2026800.6801085044 -6394373.6370305214 -1610411.9095365105 139148309.6641233861 25627555.5878581442
16 -923198652.6017743349 3369030.4513028702 -7000540.1890370753 -1898656.3797700426 126849379.6085669994 19715610.0595659167
17 -655400412.1812117100 3972544.3633544841 -7992383.4466738738 -2302443.1164959506 108597717.0940462947 13754618.7449324578
18 -415487711.7710983157 4382274.4776822701 -8660984.9254067168 -2860375.4116652799 87297335.8873822540 6748423.4882366583
19 -205291501.4133241177 4776049.8497701623 -10742926.4923952892 -3808834.4124595374 63874568.9341280907 -2346138.8802827117
20 -52485638.9804909304 6178611.0155353146 -7297394.1657786872 -552495.5505641601 24222546.8004579395 -6056534.4965957832
21 -1347527845.1724927425 -84840880.1671645939 -98601506.6559165120 -7206167.4105458353 101724751.0476705432 128815242.3591055870
22 -1308806613.1091840267 26075922.0509466529 10712892.3007135056 -10790505.3576001283 78155753.4078316987 94970412.0066890121
23 -1220236706.7055251598 -4827339.4645482562 -9030607.1448090468 -5558902.6321392823 91141173.9210352302 65979549.4669105411
24 -1059763588.9728609324 2103658.0200172123 -3133370.8327869531 -3412990.9671458062 95264573.0795182586 49544307.2818612009
25 -860933440.3412864208 1553757.4622200625 -4286991.4928940563 -2849049.6392955906 92744110.4670798331 39546270.1810456663
26 -657268749.1014746428 2342036.6662790151 -4755377.0809437716 -2959764.4110134887 84675502.0419976115 30829264.6081254408
27 -465305713.6307541132 2737413.8910599514 -5501057.0326503105 -3349376.7421638612 72472036.3406907022 21992752.5092308819
28 -293439349.2560890317 3056118.2799909906 -5984664.3439744283 -4115684.0462577739 58306829.4957108572 11557689.6850291900
29 -143952440.3517739475 3177423.2575533600 -7441622.2515082750 -5033489.3794799978 42740860.9190580547 -1050294.1348804985
30 -36615961.4348167181 3803588.3968286281 -4253747.1081687417 567061.3156516817 15031106.7666782718 -7604328.1657035360
31 -816547238.7193422318 -51524165.1428256184 -60222791.9981094897 -8735940.9407739621 60032764.9492793605 145034958.1517979205
32 -785409665.7345831394 16428403.3504739441 6584946.8111656271 -13684946.0149242561 43960775.5728577822 110529493.9985851645
33 -730991740.5061752796 -2733591.6455537165 -5441961.5662842272 -7632779.4659421984 51917166.7522146180 80632441.7903966159
34 -635903313.6070290804 1211863.4730606396 -1919578.5352837183 -4585175.2576168682 54669196.0979660079 59734750.2912019491
35 -516148340.3552000523 949553.8155399635 -2480045.9565364234 -3681719.2752844947 53436728.1113254353 47886387.1743194908
36 -393065206.4442999959 1384568.6703401012 -2777916.6521532224 -3671365.1557712676 48889371.3171915859 37442733.3674070835
37 -277104885.7133051753 1638422.2214960819 -3253619.8628764977 -4057570.5318871690 41763958.2389045507 26782114.8860900886
38 -173772075.1542798281 1844285.3002969259 -3533649.7469334225 -4985834.3653447283 33465367.0986026339 14242073.8936367854
39 -84771538.3278164268 1811321.8268070205 -4347800.6452118251 -5787484.3402247252 24422800.3414592780 -512358.9670664092
40 -21500016.9224161580 2026520.8559046178 -2148025.3681170102 1379732.7999370787 8122893.9375525219 -8870133.7682281099
41 -274448421.5818774104 -17328221.2834754772 -20295557.0822163969 -9470479.9848237019 19752502.1111078449 152762583.0342073143
42 -263180917.9635301828 5608352.1092179036 2234048.9559365381 -15121597.9061982390 14113326.4163794275 117705670.8636162132
43 -244944299.4925498962 -898715.9609809886 -1798989.5983936100 -8704492.4412938617 16853837.8589946181 87712918.7936453521
44 -213205671.5840404034 359655.4354621330 -612021.3848203802 -5187764.4602700630 17972201.3774961606 64596948.8585970104
45 -172369089.4372342229 286980.4284468517 -782532.3524437757 -4100045.4950827803 17808314.4305270910 51787060.7296819836
