1 -1.0000000000 -0.1000000000 1.0000000000
2 -0.8027286154 -0.1011753730 1.0019723066
3 -0.6056947914 -0.1080983927 1.0035391659
4 -0.4084522577 -0.1210728683 1.0051605327
5 -0.2108449803 -0.1392898966 1.0068086820
6 -0.0127963363 -0.1619566338 1.0084016230
7 0.1857054115 -0.1881978810 1.0098507699
8 0.3846337500 -0.2171684975 1.0110887835
9 0.5839462980 -0.2480927989 1.0120704423
10 0.7836050549 -0.2802918842 1.0127337818
11 0.9835180073 -0.3131318321 1.0129324290
12 0.9868134473 -0.2931248562 1.0103492556
13 0.9901100667 -0.2731226574 1.0077724189
14 0.9934071542 -0.2531227616 1.0052004362
15 0.9967043304 -0.2331234580 1.0026320210
16 1.0000014831 -0.2131238139 1.0000654819
17 1.0032986424 -0.1931235365 0.9974988923
18 1.0065958348 -0.1731229209 0.9949303299
19 1.0098929374 -0.1531229037 0.9923581164
20 1.0131895544 -0.1331252055 0.9897809929
21 1.0164849509 -0.1131323136 0.9871975178
22 0.8163972032 -0.0802928530 0.9873940698
23 0.6160511171 -0.0480934845 0.9880605875
24 0.4153537395 -0.0171691489 0.9890363629
25 0.2142722825 0.0118014824 0.9902504777
26 0.0127698008 0.0380430430 0.9916642913
27 -0.1891791086 0.0607103914 0.9932240804
28 -0.3915653649 0.0789279574 0.9948500135
29 -0.5943155480 0.0919025783 0.9964608146
30 -0.7972755728 0.0988254446 0.9980256556
31 -1.0000000000 0.1000000000 1.0000000000
32 -1.0000000000 0.0800000000 1.0000000000
33 -1.0000000000 0.0600000000 1.0000000000
34 -1.0000000000 0.0400000000 1.0000000000
35 -1.0000000000 0.0200000000 1.0000000000
36 -1.0000000000 0.0000000000 1.0000000000
37 -1.0000000000 -0.0200000000 1.0000000000
38 -1.0000000000 -0.0400000000 1.0000000000
39 -1.0000000000 -0.0600000000 1.0000000000
40 -1.0000000000 -0.0800000000 1.0000000000
41 -0.8023051976 -0.0810657086 1.0016008043
42 -0.6046457027 -0.0880318024 1.0028465669
43 -0.4068409645 -0.1010038892 1.0041404605
44 -0.2087505416 -0.1192326396 1.0054582087
45 -0.0103037850 -0.1419091229 1.0067343484
46 0.1885075620 -0.1681606298 1.0078959711
47 0.3876628519 -0.1971407355 1.0088881464
48 0.5871284602 -0.2280739422 1.0096746248
49 0.7868736943 -0.2602781158 1.0102038646
50 -0.8017870095 -0.0609743501 1.0012118724
51 -0.6035339441 -0.0679810834 1.0021439293
52 -0.4051722526 -0.0809501876 1.0031125418
53 -0.2066023679 -0.0991884960 1.0041017478
54 -0.0077633366 -0.1218728210 1.0050623261
55 0.1913506946 -0.1481323331 1.0059373962
56 0.3907243595 -0.1771198286 1.0066844020
57 0.5903323829 -0.2080599089 1.0072757677
58 0.7901506885 -0.2402680526 1.0076712152
59 -0.8012155594 -0.0409058148 1.0008128488
60 -0.6023793375 -0.0479446992 1.0014337242
61 -0.4034681698 -0.0609117373 1.0020797353
62 -0.2044211696 -0.0791569133 1.0027418445
63 -0.0051936973 -0.1018471089 1.0033874134
64 0.1942185789 -0.1281123888 1.0039763274
65 0.3938052356 -0.1571052156 1.0044782568
66 0.5935488573 -0.1880501772 1.0048740032
67 0.7934322507 -0.2202613383 1.0051365020
68 -0.8006151976 -0.0208634276 1.0004075295
69 -0.6011984714 -0.0279226306 1.0007183041
70 -0.4017433434 -0.0408886161 1.0010435716
71 -0.2022209717 -0.0591378986 1.0013798239
72 -0.0026072998 -0.0818317550 1.0017106829
73 0.1971005453 -0.1081005281 1.0020136682
74 0.3968970260 -0.1370965849 1.0022704856
75 0.5967722074 -0.1680444571 1.0024701325
76 0.7967161601 -0.2002575465 1.0026005832
77 -0.8000020520 -0.0008490485 0.9999990957
78 -0.6000051948 -0.0079151633 1.0000002186
79 -0.4000088688 -0.0208808511 1.0000056393
80 -0.2000120910 -0.0391315284 1.0000167533
81 -0.0000132520 -0.0618266656 1.0000330565
82 0.1999889003 -0.0880966276 1.0000502378
83 0.3999937369 -0.1170937729 1.0000619305
84 0.5999986043 -0.1480426104 1.0000651855
85 0.8000010575 -0.1802563758 1.0000641276
86 -0.7993889068 0.0191367324 0.9995906517
87 -0.5988119150 0.0120775664 0.9992821146
88 -0.3982743889 -0.0008884475 0.9989676764
89 -0.1978032090 -0.0191378353 0.9986536524
90 0.0025807895 -0.0418318155 0.9983554212
91 0.2028772468 -0.0681006528 0.9980868403
92 0.4030904493 -0.0970967259 0.9978534307
93 0.6032250137 -0.1280445979 0.9976602663
94 0.8032859660 -0.1602577212 0.9975276543
95 -0.7987885469 0.0390945061 0.9991853022
96 -0.5976310401 0.0320556943 0.9985666394
97 -0.3965495466 0.0190885990 0.9979314217
98 -0.1956030062 0.0008432124 0.9972915411
99 0.0051671702 -0.0218472301 0.9966786644
