     1     1         35118.71150         -2713.53796          -379.28973
     1     2         35307.04555         -2085.75779         -1635.25160
     1     5         31718.58307         -3162.29654         -1415.52854
     1     4         31530.24903         -3790.07670          -159.56667
     2     2         37606.52644           816.59911         -2161.59008
     2     3         39410.94962          6831.34305         -4229.04903
     2     6         33503.92407          5059.23538         -2123.88865
     2     5         31699.50088          -955.50856           -56.42970
     3     4         29400.37106          -354.04345          -263.18833
     3     5         29663.05875           521.58220         -2328.44186
     3     8         23762.33437         -1248.63512         -2021.97289
     3     7         23499.64667         -2124.26077            43.28065
     4     5         27837.92836           922.32198          -623.48256
     4     6         28429.33279          2893.67009         -3205.68164
     4     9         21051.62114           680.35659         -2515.70980
     4     8         20460.21671         -1290.99152            66.48928
