     1     1           405.74018          4687.31116           405.74018            -0.00000             0.00000            -0.00000
     1     2           242.58019          4321.71512           227.46961             0.00000            -7.55529           -50.00554
     1     5            10.48882          4189.63483            19.29334           -87.88712             4.40226          -151.22357
     1     4           155.71248          4537.29455           155.71248          -101.21803            -0.00000          -101.21803
     1    10           227.46961          4321.71512           242.58019           -50.00554            -7.55529             0.00000
     1    11            84.30600          4002.77726            84.30600           -38.04799           -15.11058           -38.04799
     1    14          -105.93396          3888.63329          -105.93396          -125.93511             8.80452          -125.93511
     1    13            19.29334          4189.63483            10.48882          -151.22357             4.40226           -87.88712
     2     2          -124.31043          4164.47628            70.23078             0.00000            -7.55529           -50.00554
     2     3           253.38371          5051.14252           442.54499             0.00000            16.78676            76.38164
     2     6           625.90670          5170.89115           469.18410          -105.81543             0.33783           330.86769
     2     5           260.97272          4296.98507           126.64358           -87.88712             4.40226           204.48051
     2    11          -170.94394          3893.38443           -25.08683           -38.04799           -10.24525           -38.04799
     2    12           179.85773          4717.30158           320.33491           -46.55476            14.09680            59.93271
     2    15           452.95804          4794.44049           304.36430          -152.37019           -10.85891           296.49045
     2    14           114.91653          3983.28350           -11.28375          -125.93511            -6.79447           198.50975
     3     4          2439.22968          9865.50133          2439.22968          -101.21803             0.00000          -101.21803
     3     5          -402.93628          3224.97625          -394.13177           -87.88712             4.40226          -264.01244
     3     8         -1176.78768          2776.71367         -1114.48895          -415.06441            31.14937         -2163.19201
     3     7          1625.25761          9377.11809          1625.25761         -2000.39759            -0.00000         -2000.39759
     3    13          -394.13177          3224.97625          -402.93628          -264.01244             4.40226           -87.88712
     3    14          -878.29432          2086.45911          -878.29432          -223.93442             8.80452          -223.93442
     3    17         -1558.53084          1678.31720         -1558.53084          -551.11172            62.29873          -551.11172
     3    16         -1114.48895          2776.71367         -1176.78768         -2163.19201            31.14937          -415.06441
     4     5          -152.45238          3332.32649          -286.78153           -87.88712             4.40226            91.69164
     4     6          2906.59502         10492.49723          2749.87242          -105.81543             0.33783          -478.95654
     4     9           694.10966          9421.30823          1391.72777         -2095.08710           435.76117          1571.60513
     4     8         -2353.79197          2272.28327         -1618.91936          -415.06441            31.14937          2142.25331
     4    14          -657.44384          2181.10932          -783.64411          -223.93442            -6.79447           100.51044
     4    15           -91.53800          3523.94974          -240.13174          -249.29326           -10.85891           -61.46151
     4    18          -873.65652          3065.77509          -985.26203         -2238.56493           417.13392           327.00579
     4    17         -1428.41659          1734.08045         -1502.76759          -551.11172            12.52212           488.97773
     5    10            70.23078          4164.47628          -124.31043           -50.00554            -7.55529             0.00000
     5    11           -25.08683          3893.38443          -170.94394           -38.04799           -10.24525           -38.04799
     5    14           -11.28375          3983.28350           114.91653           198.50975            -6.79447          -125.93511
     5    13           126.64358          4296.98507           260.97272           204.48051             4.40226           -87.88712
     5    19           442.54499          5051.14252           253.38371            76.38164            16.78676            -0.00000
     5    20           320.33491          4717.30158           179.85773            59.93271            14.09680           -46.55476
     5    23           304.36430          4794.44049           452.95804           296.49045           -10.85891          -152.37019
     5    22           469.18410          5170.89115           625.90670           330.86769             0.33783          -105.81543
     6    11          -280.33677          3783.99160          -280.33677           -38.04799            -5.37992           -38.04799
     6    12            16.70276          4554.14661           -60.36001           -46.55476           -43.91131            59.93271
     6    15           534.03407          4875.51652           493.54171           189.83458           -42.63964           296.49045
     6    14           209.56673          4077.93371           209.56673           198.50975           -22.39346           198.50975
     6    20           -60.36001          4554.14661            16.70276            59.93271           -43.91131           -46.55476
     6    21           236.42692          5323.71223           236.42692            69.71114           -82.44269            69.71114
     6    24           817.75645          5672.50995           817.75645           306.10049           -62.88583           306.10049
     6    23           493.54171          4875.51652           534.03407           296.49045           -42.63964           189.83458
     7    13          -286.78153          3332.32649          -152.45238            91.69164             4.40226           -87.88712
     7    14          -783.64411          2181.10932          -657.44384           100.51044            -6.79447          -223.93442
     7    17         -1502.76759          1734.08045         -1428.41659           488.97773            12.52212          -551.11172
     7    16         -1618.91936          2272.28327         -2353.79197          2142.25331            31.14937          -415.06441
     7    22          2749.87242         10492.49723          2906.59502          -478.95654             0.33783          -105.81543
     7    23          -240.13174          3523.94974           -91.53800           -61.46151           -10.85891          -249.29326
     7    26          -985.26203          3065.77509          -873.65652           327.00579           417.13392         -2238.56493
     7    25          1391.72777          9421.30823           694.10966          1571.60513           435.76117         -2095.08710
     8    14          -562.79363          2275.75952          -562.79363           100.51044           -22.39346           100.51044
     8    15           -10.46196          3605.02577           -50.95433            92.91152           -42.63964           -61.46151
     8    18         -1309.74530          2629.68631         -2002.80251          2196.19545          -383.78311           327.00579
     8    17         -1372.65333          1789.84370         -1372.65333           488.97773           -37.25450           488.97773
     8    23           -50.95433          3605.02577           -10.46196           -61.46151           -42.63964            92.91152
     8    24          3073.60229         10936.15024          3073.60229          -395.34284           -62.88583          -395.34284
     8    27           632.33047          9471.38715           632.33047          1707.94108          -730.31171          1707.94108
     8    26         -2002.80251          2629.68631         -1309.74530           327.00579          -383.78311          2196.19545
