     1     1   0.0000003593  -0.0000001325  -0.0000000099
     1     2   0.0000003593  -0.0000001268  -0.0000000425
     1     5   0.0000003267  -0.0000001268  -0.0000000368
     1     4   0.0000003267  -0.0000001325  -0.0000000041
     2     2   0.0000003736  -0.0000001047  -0.0000000562
     2     3   0.0000003736  -0.0000000499  -0.0000001100
     2     6   0.0000003199  -0.0000000499  -0.0000000552
     2     5   0.0000003199  -0.0000001047  -0.0000000015
     3     4   0.0000002951  -0.0000000917  -0.0000000068
     3     5   0.0000002951  -0.0000000838  -0.0000000605
     3     8   0.0000002414  -0.0000000838  -0.0000000526
     3     7   0.0000002414  -0.0000000917   0.0000000011
     4     5   0.0000002756  -0.0000000743  -0.0000000162
     4     6   0.0000002756  -0.0000000564  -0.0000000833
     4     9   0.0000002085  -0.0000000564  -0.0000000654
     4     8   0.0000002085  -0.0000000743   0.0000000017
